"sg_uf";"dist_513_2010";"dist_513_2022";"dist_513_2025";"dist_531_2010";"dist_531_2022";"dist_531_2025"
"AC";8;8;8;8;8;8
"AL";8;8;8;9;8;8
"AP";8;8;8;8;8;8
"AM";9;10;9;10;10;9
"BA";39;37;38;41;39;40
"CE";24;23;23;24;24;24
"DF";8;8;8;8;8;8
"ES";9;10;10;10;10;10
"GO";17;18;17;17;19;18
"MA";18;18;17;19;18;18
"MT";8;9;8;8;10;9
"MS";8;8;8;8;8;8
"MG";55;54;55;57;57;58
"PR";29;30;29;30;31;30
"PB";10;10;10;11;11;11
"PA";21;21;21;22;22;22
"PE";24;24;24;25;25;25
"PI";8;8;9;9;9;9
"RN";8;8;9;9;9;9
"RS";30;29;29;31;30;31
"RJ";45;42;44;47;44;46
"RO";8;8;8;8;8;8
"RR";8;8;8;8;8;8
"SC";17;20;19;18;21;20
"SE";8;8;8;8;8;8
"SP";70;70;70;70;70;70
"TO";8;8;8;8;8;8
