"sg_uf","pop2010","pop2022","eleitorado2025","cadeiras_atual","dist_camara","dist_513_2010","dist_513_2022","dist_513_2025","dist_531_2010","dist_531_2022","dist_531_2025","prop_pop2010","prop_pop2022","prop_eleitorado2025","prop_cadeiras_atual","prop_dist_camara","prop_dist_513_2010","prop_dist_513_2022","prop_dist_513_2025","prop_dist_531_2010","prop_dist_531_2022","prop_dist_531_2025"
"AC",733559,830018,613185,8,8,8,8,8,8,8,8,0.38,0.41,0.39,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"AL",3120494,3127683,2444504,9,9,8,8,8,9,8,8,1.64,1.54,1.54,1.75,1.69,1.56,1.56,1.56,1.69,1.51,1.51
"AP",669526,733759,572473,8,8,8,8,8,8,8,8,0.35,0.36,0.36,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"AM",3483985,3941613,2773831,8,10,9,10,9,10,10,9,1.83,1.94,1.75,1.56,1.88,1.75,1.95,1.75,1.88,1.88,1.69
"BA",14016906,14141626,11288187,39,39,39,37,38,41,39,40,7.35,6.96,7.13,7.6,7.34,7.6,7.21,7.41,7.72,7.34,7.53
"CE",8452381,8794957,6936976,22,23,24,23,23,24,24,24,4.43,4.33,4.38,4.29,4.33,4.68,4.48,4.48,4.52,4.52,4.52
"DF",2570160,2817381,2193050,8,8,8,8,8,8,8,8,1.35,1.39,1.38,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"ES",3514952,3833712,3009699,10,10,9,10,10,10,10,10,1.84,1.89,1.9,1.95,1.88,1.75,1.95,1.95,1.88,1.88,1.88
"GO",6003788,7056495,5144357,17,18,17,18,17,17,19,18,3.15,3.47,3.25,3.31,3.39,3.31,3.51,3.31,3.2,3.58,3.39
"MA",6574789,6776699,5184708,18,18,18,18,17,19,18,18,3.45,3.34,3.27,3.51,3.39,3.51,3.51,3.31,3.58,3.39,3.39
"MT",3035122,3658649,2604521,8,10,8,9,8,8,10,9,1.59,1.8,1.64,1.56,1.88,1.56,1.75,1.56,1.51,1.88,1.69
"MS",2449024,2757013,2037840,8,8,8,8,8,8,8,8,1.28,1.36,1.29,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"MG",19597330,20539989,16473280,53,54,55,54,55,57,57,58,10.27,10.11,10.4,10.33,10.17,10.72,10.53,10.72,10.73,10.73,10.92
"PR",10444526,11444380,8667376,30,31,29,30,29,30,31,30,5.48,5.64,5.47,5.85,5.84,5.65,5.85,5.65,5.65,5.84,5.65
"PB",3766528,3974687,3222362,12,12,10,10,10,11,11,11,1.97,1.96,2.03,2.34,2.26,1.95,1.95,1.95,2.07,2.07,2.07
"PA",7581051,8120131,6239317,17,21,21,21,21,22,22,22,3.97,4,3.94,3.31,3.95,4.09,4.09,4.09,4.14,4.14,4.14
"PE",8796448,9058931,7168089,25,25,24,24,24,25,25,25,4.61,4.46,4.53,4.87,4.71,4.68,4.68,4.68,4.71,4.71,4.71
"PI",3118360,3271199,2691745,10,10,8,8,9,9,9,9,1.63,1.61,1.7,1.95,1.88,1.56,1.56,1.75,1.69,1.69,1.69
"RN",3168027,3302729,2647832,8,10,8,8,9,9,9,9,1.66,1.63,1.67,1.56,1.88,1.56,1.56,1.75,1.69,1.69,1.69
"RS",10693929,10882965,8671284,31,31,30,29,29,31,30,31,5.61,5.36,5.47,6.04,5.84,5.85,5.65,5.65,5.84,5.65,5.84
"RJ",15989929,16055174,13038105,46,46,45,42,44,47,44,46,8.38,7.91,8.23,8.97,8.66,8.77,8.19,8.58,8.85,8.29,8.66
"RO",1562409,1581196,1271508,8,8,8,8,8,8,8,8,0.82,0.78,0.8,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"RR",450479,636707,390975,8,8,8,8,8,8,8,8,0.24,0.31,0.25,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"SC",6248436,7610361,5669705,16,20,17,20,19,18,21,20,3.28,3.75,3.58,3.12,3.77,3.31,3.9,3.7,3.39,3.95,3.77
"SE",2068017,2210004,1734952,8,8,8,8,8,8,8,8,1.08,1.09,1.1,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
"SP",41262199,44411238,34528336,70,70,70,70,70,70,70,70,21.63,21.87,21.8,13.65,13.18,13.65,13.65,13.65,13.18,13.18,13.18
"TO",1383445,1511460,1171831,8,8,8,8,8,8,8,8,0.73,0.74,0.74,1.56,1.51,1.56,1.56,1.56,1.51,1.51,1.51
